A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/3/2016 1:00,2016,1,3,1,582,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 2:00,2016,1,3,2,406,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 3:00,2016,1,3,3,261,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 4:00,2016,1,3,4,244,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 5:00,2016,1,3,5,229,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 6:00,2016,1,3,6,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 7:00,2016,1,3,7,178,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 8:00,2016,1,3,8,166,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 9:00,2016,1,3,9,131,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 10:00,2016,1,3,10,131,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 11:00,2016,1,3,11,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 12:00,2016,1,3,12,103,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 13:00,2016,1,3,13,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 14:00,2016,1,3,14,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 15:00,2016,1,3,15,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 16:00,2016,1,3,16,157,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 17:00,2016,1,3,17,208,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 18:00,2016,1,3,18,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 19:00,2016,1,3,19,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 20:00,2016,1,3,20,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 21:00,2016,1,3,21,229,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 22:00,2016,1,3,22,239,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/3/2016 23:00,2016,1,3,23,243,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 0:00,2016,1,4,0,251,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 1:00,2016,1,4,1,231,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 2:00,2016,1,4,2,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 3:00,2016,1,4,3,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 4:00,2016,1,4,4,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 5:00,2016,1,4,5,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 6:00,2016,1,4,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 7:00,2016,1,4,7,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 8:00,2016,1,4,8,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 9:00,2016,1,4,9,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 10:00,2016,1,4,10,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 11:00,2016,1,4,11,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 12:00,2016,1,4,12,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 13:00,2016,1,4,13,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 14:00,2016,1,4,14,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 15:00,2016,1,4,15,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 16:00,2016,1,4,16,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 17:00,2016,1,4,17,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 18:00,2016,1,4,18,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 19:00,2016,1,4,19,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 20:00,2016,1,4,20,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 21:00,2016,1,4,21,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 22:00,2016,1,4,22,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/4/2016 23:00,2016,1,4,23,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 0:00,2016,1,5,0,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 1:00,2016,1,5,1,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 2:00,2016,1,5,2,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 3:00,2016,1,5,3,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 4:00,2016,1,5,4,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 5:00,2016,1,5,5,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 6:00,2016,1,5,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 7:00,2016,1,5,7,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 8:00,2016,1,5,8,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 9:00,2016,1,5,9,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 10:00,2016,1,5,10,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 11:00,2016,1,5,11,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 12:00,2016,1,5,12,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 13:00,2016,1,5,13,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 14:00,2016,1,5,14,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 15:00,2016,1,5,15,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 16:00,2016,1,5,16,45,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 17:00,2016,1,5,17,54,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 18:00,2016,1,5,18,72,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 19:00,2016,1,5,19,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 20:00,2016,1,5,20,91,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 21:00,2016,1,5,21,101,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 22:00,2016,1,5,22,76,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/5/2016 23:00,2016,1,5,23,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 0:00,2016,1,6,0,97,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 1:00,2016,1,6,1,47,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 2:00,2016,1,6,2,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 3:00,2016,1,6,3,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 4:00,2016,1,6,4,42,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 5:00,2016,1,6,5,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 6:00,2016,1,6,6,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 7:00,2016,1,6,7,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 8:00,2016,1,6,8,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 9:00,2016,1,6,9,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 10:00,2016,1,6,10,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 11:00,2016,1,6,11,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 12:00,2016,1,6,12,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 13:00,2016,1,6,13,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 14:00,2016,1,6,14,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 15:00,2016,1,6,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 16:00,2016,1,6,16,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 17:00,2016,1,6,17,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 18:00,2016,1,6,18,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 19:00,2016,1,6,19,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 20:00,2016,1,6,20,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 21:00,2016,1,6,21,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 22:00,2016,1,6,22,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/6/2016 23:00,2016,1,6,23,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 0:00,2016,1,7,0,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 1:00,2016,1,7,1,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 2:00,2016,1,7,2,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 3:00,2016,1,7,3,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 4:00,2016,1,7,4,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 5:00,2016,1,7,5,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 6:00,2016,1,7,6,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 7:00,2016,1,7,7,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 8:00,2016,1,7,8,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 9:00,2016,1,7,9,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 10:00,2016,1,7,10,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 11:00,2016,1,7,11,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 12:00,2016,1,7,12,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 13:00,2016,1,7,13,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 14:00,2016,1,7,14,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 15:00,2016,1,7,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 16:00,2016,1,7,16,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 17:00,2016,1,7,17,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 18:00,2016,1,7,18,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 19:00,2016,1,7,19,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 20:00,2016,1,7,20,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 21:00,2016,1,7,21,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 22:00,2016,1,7,22,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/7/2016 23:00,2016,1,7,23,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 0:00,2016,1,8,0,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 1:00,2016,1,8,1,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 2:00,2016,1,8,2,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 3:00,2016,1,8,3,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 4:00,2016,1,8,4,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 5:00,2016,1,8,5,6,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 6:00,2016,1,8,6,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 7:00,2016,1,8,7,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 8:00,2016,1,8,8,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 9:00,2016,1,8,9,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 10:00,2016,1,8,10,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 11:00,2016,1,8,11,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 12:00,2016,1,8,12,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 13:00,2016,1,8,13,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 14:00,2016,1,8,14,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 15:00,2016,1,8,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 16:00,2016,1,8,16,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 17:00,2016,1,8,17,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 18:00,2016,1,8,18,61,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 19:00,2016,1,8,19,99,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 20:00,2016,1,8,20,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 21:00,2016,1,8,21,135,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 22:00,2016,1,8,22,137,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/8/2016 23:00,2016,1,8,23,138,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 0:00,2016,1,9,0,136,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 1:00,2016,1,9,1,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 2:00,2016,1,9,2,85,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 3:00,2016,1,9,3,82,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 4:00,2016,1,9,4,74,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 5:00,2016,1,9,5,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 6:00,2016,1,9,6,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 7:00,2016,1,9,7,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 8:00,2016,1,9,8,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 9:00,2016,1,9,9,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 10:00,2016,1,9,10,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 11:00,2016,1,9,11,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 12:00,2016,1,9,12,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 13:00,2016,1,9,13,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 14:00,2016,1,9,14,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 15:00,2016,1,9,15,32,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 16:00,2016,1,9,16,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 17:00,2016,1,9,17,57,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 18:00,2016,1,9,18,87,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 19:00,2016,1,9,19,102,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 20:00,2016,1,9,20,144,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 21:00,2016,1,9,21,173,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 22:00,2016,1,9,22,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/9/2016 23:00,2016,1,9,23,124,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 0:00,2016,1,10,0,83,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 1:00,2016,1,10,1,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 2:00,2016,1,10,2,61,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 3:00,2016,1,10,3,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 4:00,2016,1,10,4,28,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 5:00,2016,1,10,5,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 6:00,2016,1,10,6,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 7:00,2016,1,10,7,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 8:00,2016,1,10,8,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 9:00,2016,1,10,9,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 10:00,2016,1,10,10,39,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 11:00,2016,1,10,11,43,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 12:00,2016,1,10,12,55,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 13:00,2016,1,10,13,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 14:00,2016,1,10,14,50,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 15:00,2016,1,10,15,74,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 16:00,2016,1,10,16,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 17:00,2016,1,10,17,67,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 18:00,2016,1,10,18,68,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 19:00,2016,1,10,19,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 20:00,2016,1,10,20,76,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 21:00,2016,1,10,21,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 22:00,2016,1,10,22,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/10/2016 23:00,2016,1,10,23,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 0:00,2016,1,11,0,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 1:00,2016,1,11,1,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 2:00,2016,1,11,2,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 3:00,2016,1,11,3,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 4:00,2016,1,11,4,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 5:00,2016,1,11,5,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 6:00,2016,1,11,6,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 7:00,2016,1,11,7,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 8:00,2016,1,11,8,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 9:00,2016,1,11,9,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 10:00,2016,1,11,10,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 11:00,2016,1,11,11,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 12:00,2016,1,11,12,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 13:00,2016,1,11,13,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 14:00,2016,1,11,14,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 15:00,2016,1,11,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 16:00,2016,1,11,16,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 17:00,2016,1,11,17,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 18:00,2016,1,11,18,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 19:00,2016,1,11,19,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 20:00,2016,1,11,20,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 21:00,2016,1,11,21,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 22:00,2016,1,11,22,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/11/2016 23:00,2016,1,11,23,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 0:00,2016,1,12,0,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 1:00,2016,1,12,1,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 2:00,2016,1,12,2,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 3:00,2016,1,12,3,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 4:00,2016,1,12,4,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 5:00,2016,1,12,5,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 6:00,2016,1,12,6,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 7:00,2016,1,12,7,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 8:00,2016,1,12,8,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 9:00,2016,1,12,9,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 10:00,2016,1,12,10,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 11:00,2016,1,12,11,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 12:00,2016,1,12,12,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,1/12/2016 13:00,2016,1,12,13,8,µg/m³,1 Hr,Valid
