# Monthly cholera mortality in Dacca, Bangladesh, 1891-1940
# Collated by Menno Bouma
# King, A. A., Ionides, E. L., Pascual, M. and Bouma, M. J. (2008). Inapparent infections and cholera dynamics. Nature 454:877-880. 
"196",1907.25,613
"197",1907.33333333333,132
"198",1907.41666666667,48
"199",1907.5,17
"200",1907.58333333333,22
"201",1907.66666666667,26
"202",1907.75,34
"203",1907.83333333333,344
"204",1907.91666666667,657
"205",1908,117
"206",1908.08333333333,75
"207",1908.16666666667,443
"208",1908.25,972
"209",1908.33333333333,646
"210",1908.41666666667,107
"211",1908.5,18
"212",1908.58333333333,6
"213",1908.66666666667,9
"214",1908.75,5
"215",1908.83333333333,12
"216",1908.91666666667,142
"217",1909,133
"218",1909.08333333333,189
"219",1909.16666666667,1715
"220",1909.25,3115
"221",1909.33333333333,1412
"222",1909.41666666667,182
"223",1909.5,50
"224",1909.58333333333,37
"225",1909.66666666667,77
"226",1909.75,475
"227",1909.83333333333,1730
"228",1909.91666666667,1489
"229",1910,620
"230",1910.08333333333,190
"231",1910.16666666667,571
"232",1910.25,1558
"233",1910.33333333333,440
"234",1910.41666666667,27
"235",1910.5,7
"236",1910.58333333333,14
"237",1910.66666666667,93
"238",1910.75,1462
"239",1910.83333333333,2467
"240",1910.91666666667,1703
"241",1911,1262
"242",1911.08333333333,458
"243",1911.16666666667,453
"244",1911.25,717
"245",1911.33333333333,232
"246",1911.41666666667,26
"247",1911.5,16
"248",1911.58333333333,18
"249",1911.66666666667,9
"250",1911.75,78
"251",1911.83333333333,353
"252",1911.91666666667,897
"253",1912,777
"254",1912.08333333333,404
"255",1912.16666666667,799
"256",1912.25,2067
"257",1912.33333333333,613
"258",1912.41666666667,98
"259",1912.5,19
"260",1912.58333333333,26
"261",1912.66666666667,47
"262",1912.75,171
"263",1912.83333333333,767
"264",1912.91666666667,1896
"265",1913,887
"266",1913.08333333333,325
"267",1913.16666666667,816
"268",1913.25,1653
"269",1913.33333333333,355
"270",1913.41666666667,85
"271",1913.5,54
"272",1913.58333333333,88
"273",1913.66666666667,609
"274",1913.75,882
"275",1913.83333333333,1363
"276",1913.91666666667,2178
"277",1914,580
"278",1914.08333333333,396
"279",1914.16666666667,1493
"280",1914.25,2154
"281",1914.33333333333,683
"282",1914.41666666667,78
"283",1914.5,19
"284",1914.58333333333,10
"285",1914.66666666667,27
"286",1914.75,88
"287",1914.83333333333,1178
"288",1914.91666666667,1862
"289",1915,611
"290",1915.08333333333,478
"291",1915.16666666667,2697
"292",1915.25,3395
"293",1915.33333333333,520
"294",1915.41666666667,67
"295",1915.5,41
"296",1915.58333333333,36
"297",1915.66666666667,209
"298",1915.75,559
"299",1915.83333333333,971
"300",1915.91666666667,2144
"301",1916,1099
"302",1916.08333333333,494
"303",1916.16666666667,586
"304",1916.25,508
"305",1916.33333333333,269
"306",1916.41666666667,27
"307",1916.5,19
"308",1916.58333333333,21
"309",1916.66666666667,12
"310",1916.75,22
"311",1916.83333333333,333
"312",1916.91666666667,676
"313",1917,487
"314",1917.08333333333,262
"315",1917.16666666667,535
"316",1917.25,979
"317",1917.33333333333,170
"318",1917.41666666667,25
"319",1917.5,9
"320",1917.58333333333,19
"321",1917.66666666667,13
"322",1917.75,45
"323",1917.83333333333,229
"324",1917.91666666667,673
"325",1918,432
"326",1918.08333333333,107
"327",1918.16666666667,373
"328",1918.25,1126
"329",1918.33333333333,339
"330",1918.41666666667,19
"331",1918.5,11
"332",1918.58333333333,3
"333",1918.66666666667,15
"334",1918.75,101
"335",1918.83333333333,539
"336",1918.91666666667,709
"337",1919,200
"338",1919.08333333333,208
"339",1919.16666666667,926
"340",1919.25,1783
"341",1919.33333333333,831
"342",1919.41666666667,103
"343",1919.5,37
"344",1919.58333333333,17
"345",1919.66666666667,33
"346",1919.75,179
"347",1919.83333333333,426
"348",1919.91666666667,795
"349",1920,481
"350",1920.08333333333,491
"351",1920.16666666667,773
"352",1920.25,936
"353",1920.33333333333,325
"354",1920.41666666667,101
"355",1920.5,22
"356",1920.58333333333,25
"357",1920.66666666667,24
"358",1920.75,88
"359",1920.83333333333,633
"360",1920.91666666667,513
"361",1921,298
"362",1921.08333333333,93
"363",1921.16666666667,687
"364",1921.25,1750
"365",1921.33333333333,356
"366",1921.41666666667,33
"367",1921.5,2
"368",1921.58333333333,18
"369",1921.66666666667,70
"370",1921.75,648
"371",1921.83333333333,2471
"372",1921.91666666667,1270
"373",1922,616
"374",1922.08333333333,193
"375",1922.16666666667,706
"376",1922.25,1372
"377",1922.33333333333,668
"378",1922.41666666667,107
"379",1922.5,58
"380",1922.58333333333,21
"381",1922.66666666667,23
"382",1922.75,93
"383",1922.83333333333,318
"384",1922.91666666667,867
"385",1923,332
"386",1923.08333333333,118
"387",1923.16666666667,437
"388",1923.25,2233
"389",1923.33333333333,491
"390",1923.41666666667,27
"391",1923.5,7
"392",1923.58333333333,21
"393",1923.66666666667,96
"394",1923.75,360
"395",1923.83333333333,783
"396",1923.91666666667,1492
"397",1924,550
"398",1924.08333333333,176
"399",1924.16666666667,633
"400",1924.25,922
"401",1924.33333333333,267
"402",1924.41666666667,91
"403",1924.5,42
"404",1924.58333333333,4
"405",1924.66666666667,10
"406",1924.75,7
"407",1924.83333333333,43
"408",1924.91666666667,377
"409",1925,563
"410",1925.08333333333,284
"411",1925.16666666667,298
"412",1925.25,625
"413",1925.33333333333,131
"414",1925.41666666667,35
"415",1925.5,12
"416",1925.58333333333,8
"417",1925.66666666667,9
"418",1925.75,83
"419",1925.83333333333,502
"420",1925.91666666667,551
"421",1926,256
"422",1926.08333333333,198
"423",1926.16666666667,664
"424",1926.25,1701
"425",1926.33333333333,425
"426",1926.41666666667,76
"427",1926.5,17
"428",1926.58333333333,9
"429",1926.66666666667,16
"430",1926.75,5
"431",1926.83333333333,141
"432",1926.91666666667,806
"433",1927,1603
"434",1927.08333333333,587
"435",1927.16666666667,530
"436",1927.25,771
"437",1927.33333333333,511
"438",1927.41666666667,97
"439",1927.5,35
"440",1927.58333333333,39
"441",1927.66666666667,156
"442",1927.75,1097
"443",1927.83333333333,1233
"444",1927.91666666667,1418
"445",1928,1125
"446",1928.08333333333,420
"447",1928.16666666667,1592
"448",1928.25,4169
"449",1928.33333333333,1535
"450",1928.41666666667,371
"451",1928.5,139
"452",1928.58333333333,55
"453",1928.66666666667,85
"454",1928.75,538
"455",1928.83333333333,1676
"456",1928.91666666667,1435
"457",1929,804
"458",1929.08333333333,370
"459",1929.16666666667,477
"460",1929.25,394
"461",1929.33333333333,306
"462",1929.41666666667,132
"463",1929.5,84
"464",1929.58333333333,87
"465",1929.66666666667,53
"466",1929.75,391
"467",1929.83333333333,1541
"468",1929.91666666667,1859
"469",1930,894
"470",1930.08333333333,326
"471",1930.16666666667,853
"472",1930.25,1891
"473",1930.33333333333,1009
"474",1930.41666666667,131
"475",1930.5,77
"476",1930.58333333333,63
"477",1930.66666666667,66
"478",1930.75,33
"479",1930.83333333333,178
"480",1930.91666666667,1003
"481",1931,1051
"482",1931.08333333333,488
"483",1931.16666666667,911
"484",1931.25,1806
"485",1931.33333333333,837
"486",1931.41666666667,280
"487",1931.5,132
"488",1931.58333333333,76
"489",1931.66666666667,381
"490",1931.75,1328
"491",1931.83333333333,2639
"492",1931.91666666667,2164
"493",1932,1082
"494",1932.08333333333,326
"495",1932.16666666667,254
"496",1932.25,258
"497",1932.33333333333,119
"498",1932.41666666667,106
"499",1932.5,93
"500",1932.58333333333,29
"501",1932.66666666667,17
"502",1932.75,17
"503",1932.83333333333,17
"504",1932.91666666667,46
"505",1933,79
"506",1933.08333333333,135
"507",1933.16666666667,1290
"508",1933.25,2240
"509",1933.33333333333,561
"510",1933.41666666667,116
"511",1933.5,24
"512",1933.58333333333,15
"513",1933.66666666667,33
"514",1933.75,18
"515",1933.83333333333,16
"516",1933.91666666667,38
"517",1934,26
"518",1934.08333333333,45
"519",1934.16666666667,151
"520",1934.25,168
"521",1934.33333333333,57
"522",1934.41666666667,32
"523",1934.5,29
"524",1934.58333333333,27
"525",1934.66666666667,20
"526",1934.75,106
"527",1934.83333333333,1522
"528",1934.91666666667,2013
"529",1935,434
"530",1935.08333333333,205
"531",1935.16666666667,528
"532",1935.25,634
"533",1935.33333333333,195
"534",1935.41666666667,45
"535",1935.5,33
"536",1935.58333333333,19
"537",1935.66666666667,20
"538",1935.75,46
"539",1935.83333333333,107
"540",1935.91666666667,725
"541",1936,572
"542",1936.08333333333,183
"543",1936.16666666667,2199
"544",1936.25,4018
"545",1936.33333333333,428
"546",1936.41666666667,67
"547",1936.5,31
"548",1936.58333333333,8
"549",1936.66666666667,44
"550",1936.75,484
"551",1936.83333333333,1324
"552",1936.91666666667,2054
"553",1937,467
"554",1937.08333333333,216
"555",1937.16666666667,673
"556",1937.25,887
"557",1937.33333333333,353
"558",1937.41666666667,73
"559",1937.5,46
"560",1937.58333333333,15
"561",1937.66666666667,20
"562",1937.75,27
"563",1937.83333333333,25
"564",1937.91666666667,38
"565",1938,158
"566",1938.08333333333,312
"567",1938.16666666667,1226
"568",1938.25,1021
"569",1938.33333333333,222
"570",1938.41666666667,90
"571",1938.5,31
"572",1938.58333333333,93
"573",1938.66666666667,368
"574",1938.75,657
"575",1938.83333333333,2208
"576",1938.91666666667,2178
"577",1939,702
"578",1939.08333333333,157
"579",1939.16666666667,317
"580",1939.25,146
"581",1939.33333333333,63
"582",1939.41666666667,27
"583",1939.5,22
"584",1939.58333333333,23
"585",1939.66666666667,28
"586",1939.75,225
"587",1939.83333333333,483
"588",1939.91666666667,319
"589",1940,120
"590",1940.08333333333,59
"591",1940.16666666667,274
"592",1940.25,282
"593",1940.33333333333,155
"594",1940.41666666667,31
"595",1940.5,16
"596",1940.58333333333,15
"597",1940.66666666667,12
"598",1940.75,14
"599",1940.83333333333,14
"600",1940.91666666667,42
